Geography,Current_Date,Forecast_Date,Months_Ahead,Current_Price,Forecasted_Price,Price_Change,Price_Change_Pct
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2025-12-01,2026-01-01T00:00:00.000Z,1,160.4,160.53994730782037,0.13994730782036413,0.08724894502516467
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2025-12-01,2026-02-01T00:00:00.000Z,2,160.4,160.66528625194167,0.2652862519416601,0.1653904313850749
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2025-12-01,2026-03-01T00:00:00.000Z,3,160.4,160.84315471489367,0.44315471489366587,0.27628099432273434
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2025-12-01,2026-04-01T00:00:00.000Z,4,160.4,161.01964409339305,0.6196440933930489,0.3863117789233472
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2025-12-01,2026-05-01T00:00:00.000Z,5,160.4,161.2008837078454,0.8008837078454007,0.4993040572602249
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2025-12-01,2026-06-01T00:00:00.000Z,6,160.4,161.35231204533892,0.952312045338914,0.5937107514581758
"Saskatoon, Saskatchewan",2025-12-01,2026-01-01T00:00:00.000Z,1,112,112.07632086333908,0.0763208633390775,0.0681436279813192
"Saskatoon, Saskatchewan",2025-12-01,2026-02-01T00:00:00.000Z,2,112,112.05501974843344,0.0550197484334376,0.04912477538699786
"Saskatoon, Saskatchewan",2025-12-01,2026-03-01T00:00:00.000Z,3,112,112.00784865586675,0.007848655866752097,0.007007728452457229
"Saskatoon, Saskatchewan",2025-12-01,2026-04-01T00:00:00.000Z,4,112,111.9547139689037,-0.04528603109629614,-0.040433956335978696
"Saskatoon, Saskatchewan",2025-12-01,2026-05-01T00:00:00.000Z,5,112,111.92656961963519,-0.07343038036481175,-0.06556283961143906
"Saskatoon, Saskatchewan",2025-12-01,2026-06-01T00:00:00.000Z,6,112,111.90020391183772,-0.0997960881622788,-0.08910365014489179
"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2025-12-01,2026-01-01T00:00:00.000Z,1,116.2,116.22142768397174,0.02142768397173711,0.01844034765209734
"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2025-12-01,2026-02-01T00:00:00.000Z,2,116.2,116.2279265659205,0.02792656592049525,0.024033189260322933
"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2025-12-01,2026-03-01T00:00:00.000Z,3,116.2,116.22373203418832,0.023732034188313378,0.020423437339340256
"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2025-12-01,2026-04-01T00:00:00.000Z,4,116.2,116.21498489294513,0.014984892945122397,0.01289577706120688
"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2025-12-01,2026-05-01T00:00:00.000Z,5,116.2,116.22515847971052,0.025158479710512438,0.02165101524140485
"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2025-12-01,2026-06-01T00:00:00.000Z,6,116.2,116.22894424260762,0.028944242607622073,0.024908986753547392
"Québec, Quebec",2025-12-01,2026-01-01T00:00:00.000Z,1,143.1,142.84492973160664,-0.25507026839335367,-0.17824616938738902
"Québec, Quebec",2025-12-01,2026-02-01T00:00:00.000Z,2,143.1,142.9094384686598,-0.19056153134019382,-0.1331666885675708
"Québec, Quebec",2025-12-01,2026-03-01T00:00:00.000Z,3,143.1,142.88557596417698,-0.21442403582301495,-0.14984209351713135
"Québec, Quebec",2025-12-01,2026-04-01T00:00:00.000Z,4,143.1,142.80779765757705,-0.2922023424229394,-0.20419450903070538
"Québec, Quebec",2025-12-01,2026-05-01T00:00:00.000Z,5,143.1,142.73772351192562,-0.3622764880743716,-0.2531631642727964
"Québec, Quebec",2025-12-01,2026-06-01T00:00:00.000Z,6,143.1,142.67170358799075,-0.42829641200924584,-0.29929868064936815
"St. John's, Newfoundland and Labrador",2025-12-01,2026-01-01T00:00:00.000Z,1,109.8,109.85186895500728,0.05186895500727928,0.04723948543468059
"St. John's, Newfoundland and Labrador",2025-12-01,2026-02-01T00:00:00.000Z,2,109.8,109.85505139351869,0.05505139351869559,0.05013788116456793
"St. John's, Newfoundland and Labrador",2025-12-01,2026-03-01T00:00:00.000Z,3,109.8,109.85518828781757,0.05518828781757179,0.05026255721090327
"St. John's, Newfoundland and Labrador",2025-12-01,2026-04-01T00:00:00.000Z,4,109.8,109.85093895930859,0.0509389593085956,0.04639249481657159
"St. John's, Newfoundland and Labrador",2025-12-01,2026-05-01T00:00:00.000Z,5,109.8,109.86620897468647,0.06620897468647513,0.06029961264706296
"St. John's, Newfoundland and Labrador",2025-12-01,2026-06-01T00:00:00.000Z,6,109.8,109.87583374617839,0.07583374617838956,0.06906534260326919
Prairie Region,2025-12-01,2026-01-01T00:00:00.000Z,1,120.4,120.49252194536096,0.09252194536095715,0.07684546956890129
Prairie Region,2025-12-01,2026-02-01T00:00:00.000Z,2,120.4,120.58512013278411,0.18512013278410677,0.15375426310972323
Prairie Region,2025-12-01,2026-03-01T00:00:00.000Z,3,120.4,120.70327840474525,0.30327840474524237,0.25189236274521787
Prairie Region,2025-12-01,2026-04-01T00:00:00.000Z,4,120.4,120.81839723598631,0.41839723598630485,0.3475060099554027
Prairie Region,2025-12-01,2026-05-01T00:00:00.000Z,5,120.4,120.94205566984098,0.5420556698409769,0.4502123503662598
Prairie Region,2025-12-01,2026-06-01T00:00:00.000Z,6,120.4,121.04322009094211,0.6432200909421084,0.5342359559319837
Prince Edward Island,2025-12-01,2026-01-01T00:00:00.000Z,1,123.7,123.69119874558785,-0.008801254412148296,-0.00711499952477631
Prince Edward Island,2025-12-01,2026-02-01T00:00:00.000Z,2,123.7,123.66602733515217,-0.033972664847837564,-0.027463754929537235
Prince Edward Island,2025-12-01,2026-03-01T00:00:00.000Z,3,123.7,123.64198896695079,-0.058011033049211846,-0.04689655056524806
Prince Edward Island,2025-12-01,2026-04-01T00:00:00.000Z,4,123.7,123.61857723101622,-0.08142276898378498,-0.06582277201599432
Prince Edward Island,2025-12-01,2026-05-01T00:00:00.000Z,5,123.7,123.61909953840328,-0.08090046159672681,-0.06540053483971449
Prince Edward Island,2025-12-01,2026-06-01T00:00:00.000Z,6,123.7,123.6174119499821,-0.08258805001790392,-0.06676479387057714
"St. Catharines-Niagara, Ontario",2025-12-01,2026-01-01T00:00:00.000Z,1,122.7,122.62525270830751,-0.07474729169248917,-0.060918738135687996
"St. Catharines-Niagara, Ontario",2025-12-01,2026-02-01T00:00:00.000Z,2,122.7,122.71647932427419,0.016479324274186524,0.013430582130551365
"St. Catharines-Niagara, Ontario",2025-12-01,2026-03-01T00:00:00.000Z,3,122.7,122.91195426394583,0.2119542639458274,0.1727418614065423
"St. Catharines-Niagara, Ontario",2025-12-01,2026-04-01T00:00:00.000Z,4,122.7,123.1297391269983,0.4297391269982995,0.35023563732542745
"St. Catharines-Niagara, Ontario",2025-12-01,2026-05-01T00:00:00.000Z,5,122.7,123.34880126493091,0.6488012649309098,0.5287703870667562
"St. Catharines-Niagara, Ontario",2025-12-01,2026-06-01T00:00:00.000Z,6,122.7,123.5335859825002,0.8335859825001961,0.6793691788917654
Quebec,2025-12-01,2026-01-01T00:00:00.000Z,1,149.1,149.08818229745424,-0.011817702545755537,-0.00792602451090244
Quebec,2025-12-01,2026-02-01T00:00:00.000Z,2,149.1,149.0843249337899,-0.01567506621009329,-0.010513122877326152
Quebec,2025-12-01,2026-03-01T00:00:00.000Z,3,149.1,148.97205118833648,-0.12794881166351502,-0.0858140923296546
Quebec,2025-12-01,2026-04-01T00:00:00.000Z,4,149.1,148.82814832241746,-0.27185167758253215,-0.18232842225521942
Quebec,2025-12-01,2026-05-01T00:00:00.000Z,5,149.1,148.70824441930745,-0.39175558069254635,-0.2627468683383946
Quebec,2025-12-01,2026-06-01T00:00:00.000Z,6,149.1,148.60244357842794,-0.4975564215720567,-0.3337065201690521
"Regina, Saskatchewan",2025-12-01,2026-01-01T00:00:00.000Z,1,107,107.12952534806382,0.12952534806382232,0.12105172716245077
"Regina, Saskatchewan",2025-12-01,2026-02-01T00:00:00.000Z,2,107,107.07846255512743,0.07846255512743028,0.07332949077329932
"Regina, Saskatchewan",2025-12-01,2026-03-01T00:00:00.000Z,3,107,106.96604251000568,-0.03395748999432158,-0.031735971957309886
"Regina, Saskatchewan",2025-12-01,2026-04-01T00:00:00.000Z,4,107,106.8344606662217,-0.16553933377829821,-0.15470965773672732
"Regina, Saskatchewan",2025-12-01,2026-05-01T00:00:00.000Z,5,107,106.738345119894,-0.26165488010599347,-0.2445372711270967
"Regina, Saskatchewan",2025-12-01,2026-06-01T00:00:00.000Z,6,107,106.65587211355702,-0.3441278864429762,-0.3216148471429684
Saskatchewan,2025-12-01,2026-01-01T00:00:00.000Z,1,110.1,110.18284193307042,0.08284193307042642,0.07524244602218567
Saskatchewan,2025-12-01,2026-02-01T00:00:00.000Z,2,110.1,110.15456067322538,0.054560673225381606,0.04955556151260818
Saskatchewan,2025-12-01,2026-03-01T00:00:00.000Z,3,110.1,110.0896262946273,-0.010373705372700215,-0.009422075724523356
